A compendium of geochemical information from the Saanich Inlet water column. ScientificData. Nature,,,,,,,,,,,,,
"Authors: Monica Torres Beltran, Alyse K. Hawely, David Capelle, Elena Zaikova, David A. Walsh, Andreas Mueller ",,,,,,,,,,,,,
"Melanie Scofield, Sam Kheirandish, Chris Payne, Larysa Pakhomova, Maya Bathia, Olena Shevchuk, Esther A. Gies",,,,,,,,,,,,,
"Diane Fairley, Tijana Glavina del Rio, Susannah Tringe, Frank Whitney, Philippe D. Tortell, Steven J. Hallam",,,,,,,,,,,,,
"Affiliations:Department of Microbiology and Immunology, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Earth, Ocean and Atmospheric Sciences, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Department of Biology, Concordia University, Montreal, QC.Canada",,,,,,,,,,,,,
"Department of Energy Joint Genome Institute, Walnut Creek, CA.USA",,,,,,,,,,,,,
"Institute of Ocean Sciences, Fisheries and Oceans Canada, Sidney, BC. Canada",,,,,,,,,,,,,
"Department of Botany, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Genome Science and Technology Program, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
,,,,,,,,,,,,,
Saanich Inlet time-series chemical dataset,,,,,,,,,,,,,
Data derived from seawater samples taken as described in manuscript methods,,,,,,,,,,,,,
Key to the data fields is described on Saanich_TimeSeries_CTD_dataset_README.csv file,,,,,,,,,,,,,
,,,,,,,,,,,,,
Longitude,Latitude,Cruise,Date,Pressure,Temperature ,Conductivity,Fluorescence,Beam Transmission,PAR/Irradiance,"Oxygen, SBE",Oxygen ,Salinity,Density
-123.505,48.59166667,37,2009-09-02,192.746,9.16,NAN,NAN,NAN,NAN,0.475,2.075,31.27,
-123.505,48.59166667,37,2009-09-02,192.853,9.16,NAN,NAN,NAN,NAN,0.479,1.949,31.27,
-123.505,48.59166667,37,2009-09-02,192.968,9.161,NAN,NAN,NAN,NAN,0.486,2.085,31.271,
-123.505,48.59166667,37,2009-09-02,193.086,9.161,NAN,NAN,NAN,NAN,0.49,2.155,31.272,
-123.505,48.59166667,37,2009-09-02,193.208,9.161,NAN,NAN,NAN,NAN,0.497,2.224,31.272,
-123.505,48.59166667,37,2009-09-02,193.332,9.162,NAN,NAN,NAN,NAN,0.514,2.147,31.272,
-123.505,48.59166667,37,2009-09-02,193.463,9.162,NAN,NAN,NAN,NAN,0.491,1.999,31.273,
-123.505,48.59166667,37,2009-09-02,193.584,9.163,NAN,NAN,NAN,NAN,0.497,2.055,31.273,
-123.505,48.59166667,37,2009-09-02,193.7,9.164,NAN,NAN,NAN,NAN,0.488,2.024,31.272,
-123.505,48.59166667,37,2009-09-02,193.827,9.164,NAN,NAN,NAN,NAN,0.49,2.1,31.273,
-123.505,48.59166667,37,2009-09-02,193.945,9.165,NAN,NAN,NAN,NAN,0.495,1.927,31.272,
-123.505,48.59166667,37,2009-09-02,194.064,9.165,NAN,NAN,NAN,NAN,0.491,1.945,31.272,
-123.505,48.59166667,37,2009-09-02,194.173,9.165,NAN,NAN,NAN,NAN,0.496,2.077,31.272,
-123.505,48.59166667,37,2009-09-02,194.289,9.165,NAN,NAN,NAN,NAN,0.501,2.064,31.273,
-123.505,48.59166667,37,2009-09-02,194.404,9.165,NAN,NAN,NAN,NAN,0.488,2.249,31.273,
-123.505,48.59166667,37,2009-09-02,194.525,9.165,NAN,NAN,NAN,NAN,0.499,2.263,31.272,
-123.505,48.59166667,37,2009-09-02,194.647,9.166,NAN,NAN,NAN,NAN,0.509,2.147,31.273,
-123.505,48.59166667,37,2009-09-02,194.771,9.166,NAN,NAN,NAN,NAN,0.499,2.174,31.272,
-123.505,48.59166667,37,2009-09-02,194.887,9.166,NAN,NAN,NAN,NAN,0.507,2.19,31.273,
-123.505,48.59166667,37,2009-09-02,195.002,9.166,NAN,NAN,NAN,NAN,0.514,2.169,31.272,
-123.505,48.59166667,37,2009-09-02,195.123,9.166,NAN,NAN,NAN,NAN,0.492,2.069,31.273,
-123.505,48.59166667,37,2009-09-02,195.23,9.166,NAN,NAN,NAN,NAN,0.501,2.13,31.272,
-123.505,48.59166667,37,2009-09-02,195.348,9.166,NAN,NAN,NAN,NAN,0.499,1.967,31.273,
-123.505,48.59166667,37,2009-09-02,195.467,9.166,NAN,NAN,NAN,NAN,0.511,2.166,31.273,
-123.505,48.59166667,37,2009-09-02,195.597,9.166,NAN,NAN,NAN,NAN,0.503,2.122,31.273,
-123.505,48.59166667,37,2009-09-02,195.722,9.167,NAN,NAN,NAN,NAN,0.495,2.014,31.273,
-123.505,48.59166667,37,2009-09-02,195.846,9.167,NAN,NAN,NAN,NAN,0.495,2.122,31.274,
-123.505,48.59166667,37,2009-09-02,195.971,9.167,NAN,NAN,NAN,NAN,0.503,2.085,31.274,
-123.505,48.59166667,37,2009-09-02,196.095,9.168,NAN,NAN,NAN,NAN,0.497,2.15,31.274,
-123.505,48.59166667,37,2009-09-02,196.21,9.168,NAN,NAN,NAN,NAN,0.503,2.065,31.274,
-123.505,48.59166667,37,2009-09-02,196.317,9.168,NAN,NAN,NAN,NAN,0.496,2.142,31.274,
-123.505,48.59166667,37,2009-09-02,196.423,9.169,NAN,NAN,NAN,NAN,0.499,2.183,31.274,
-123.505,48.59166667,37,2009-09-02,196.535,9.169,NAN,NAN,NAN,NAN,0.497,2.06,31.273,
-123.505,48.59166667,37,2009-09-02,196.651,9.169,NAN,NAN,NAN,NAN,0.496,2.057,31.274,
-123.505,48.59166667,37,2009-09-02,196.76,9.169,NAN,NAN,NAN,NAN,0.507,2.042,31.274,
-123.505,48.59166667,37,2009-09-02,196.878,9.169,NAN,NAN,NAN,NAN,0.504,1.835,31.274,
-123.505,48.59166667,37,2009-09-02,197.009,9.169,NAN,NAN,NAN,NAN,0.502,1.989,31.274,
-123.505,48.59166667,37,2009-09-02,197.136,9.17,NAN,NAN,NAN,NAN,0.483,1.973,31.275,
-123.505,48.59166667,37,2009-09-02,197.258,9.17,NAN,NAN,NAN,NAN,0.491,2.014,31.275,
-123.505,48.59166667,37,2009-09-02,197.397,9.171,NAN,NAN,NAN,NAN,0.511,2.045,31.276,
-123.505,48.59166667,37,2009-09-02,197.513,9.171,NAN,NAN,NAN,NAN,0.495,2.187,31.276,
-123.505,48.59166667,37,2009-09-02,197.631,9.172,NAN,NAN,NAN,NAN,0.499,2.137,31.276,
-123.505,48.59166667,37,2009-09-02,197.747,9.173,NAN,NAN,NAN,NAN,0.503,2.104,31.276,
-123.505,48.59166667,37,2009-09-02,197.865,9.173,NAN,NAN,NAN,NAN,0.494,2.228,31.276,
-123.505,48.59166667,37,2009-09-02,197.977,9.174,NAN,NAN,NAN,NAN,0.497,2.09,31.277,
-123.505,48.59166667,37,2009-09-02,198.096,9.174,NAN,NAN,NAN,NAN,0.484,2.081,31.276,
-123.505,48.59166667,37,2009-09-02,198.217,9.174,NAN,NAN,NAN,NAN,0.488,2.047,31.277,
-123.505,48.59166667,37,2009-09-02,198.351,9.175,NAN,NAN,NAN,NAN,0.491,2.059,31.277,
-123.505,48.59166667,37,2009-09-02,198.469,9.176,NAN,NAN,NAN,NAN,0.502,1.911,31.277,
-123.505,48.59166667,37,2009-09-02,198.594,9.176,NAN,NAN,NAN,NAN,0.511,1.977,31.277,
-123.505,48.59166667,37,2009-09-02,198.724,9.177,NAN,NAN,NAN,NAN,0.497,2.063,31.276,
-123.505,48.59166667,37,2009-09-02,198.839,9.177,NAN,NAN,NAN,NAN,0.498,1.988,31.277,
-123.505,48.59166667,37,2009-09-02,198.952,9.177,NAN,NAN,NAN,NAN,0.521,2.077,31.276,
-123.505,48.59166667,37,2009-09-02,199.055,9.177,NAN,NAN,NAN,NAN,0.518,2.033,31.276,
-123.505,48.59166667,37,2009-09-02,199.149,9.177,NAN,NAN,NAN,NAN,0.51,2.223,31.276,
-123.505,48.59166667,37,2009-09-02,199.246,9.177,NAN,NAN,NAN,NAN,0.504,2.127,31.276,
-123.505,48.59166667,37,2009-09-02,199.325,9.177,NAN,NAN,NAN,NAN,0.529,2.062,31.276,
-123.505,48.59166667,37,2009-09-02,199.407,9.177,NAN,NAN,NAN,NAN,0.51,1.988,31.276,
-123.505,48.59166667,37,2009-09-02,199.471,9.177,NAN,NAN,NAN,NAN,0.512,1.947,31.276,
-123.505,48.59166667,37,2009-09-02,199.553,9.177,NAN,NAN,NAN,NAN,0.515,1.977,31.277,
-123.505,48.59166667,37,2009-09-02,199.62,9.178,NAN,NAN,NAN,NAN,0.516,1.924,31.277,
-123.505,48.59166667,37,2009-09-02,199.693,9.178,NAN,NAN,NAN,NAN,0.512,1.943,31.277,
-123.505,48.59166667,37,2009-09-02,199.765,9.178,NAN,NAN,NAN,NAN,0.55,2.066,31.277,
-123.505,48.59166667,37,2009-09-02,199.844,9.178,NAN,NAN,NAN,NAN,0.516,2.078,31.277,
-123.505,48.59166667,37,2009-09-02,199.914,9.178,NAN,NAN,NAN,NAN,0.508,1.934,31.278,
-123.505,48.59166667,37,2009-09-02,199.99,9.178,NAN,NAN,NAN,NAN,0.51,1.951,31.277,
-123.505,48.59166667,37,2009-09-02,200.063,9.179,NAN,NAN,NAN,NAN,0.504,2.126,31.277,
-123.505,48.59166667,37,2009-09-02,200.133,9.179,NAN,NAN,NAN,NAN,0.521,2.035,31.278,
-123.505,48.59166667,37,2009-09-02,200.215,9.179,NAN,NAN,NAN,NAN,0.515,2.033,31.278,
-123.505,48.59166667,37,2009-09-02,200.288,9.179,NAN,NAN,NAN,NAN,0.522,1.996,31.278,
-123.505,48.59166667,37,2009-09-02,200.36,9.18,NAN,NAN,NAN,NAN,0.52,1.996,31.278,
-123.505,48.59166667,37,2009-09-02,200.424,9.18,NAN,NAN,NAN,NAN,0.52,1.994,31.278,
-123.505,48.59166667,37,2009-09-02,200.467,9.18,NAN,NAN,NAN,NAN,0.508,2.163,31.278,
-123.505,48.59166667,37,2009-09-02,200.482,9.18,NAN,NAN,NAN,NAN,0.509,2.047,31.278,
-123.505,48.59166667,37,2009-09-02,200.485,9.18,NAN,NAN,NAN,NAN,0.515,1.959,31.278,
-123.505,48.59166667,37,2009-09-02,200.491,9.18,NAN,NAN,NAN,NAN,0.505,2.094,31.278,
-123.505,48.59166667,37,2009-09-02,200.482,9.181,NAN,NAN,NAN,NAN,0.527,2.076,31.278,
-123.505,48.59166667,37,2009-09-02,200.494,9.181,NAN,NAN,NAN,NAN,0.514,2.059,31.278,
-123.505,48.59166667,37,2009-09-02,200.509,9.181,NAN,NAN,NAN,NAN,0.555,2.059,31.278,
-123.505,48.59166667,37,2009-09-02,200.506,9.181,NAN,NAN,NAN,NAN,0.559,2.108,31.278,
-123.505,48.59166667,37,2009-09-02,200.509,9.181,NAN,NAN,NAN,NAN,0.524,1.974,31.278,
-123.505,48.59166667,37,2009-09-02,200.509,9.181,NAN,NAN,NAN,NAN,0.51,1.958,31.278,
-123.505,48.59166667,37,2009-09-02,200.506,9.181,NAN,NAN,NAN,NAN,0.528,1.951,31.278,
-123.505,48.59166667,37,2009-09-02,200.506,9.181,NAN,NAN,NAN,NAN,0.529,1.894,31.278,
-123.505,48.59166667,37,2009-09-02,200.5,9.181,NAN,NAN,NAN,NAN,0.511,1.918,31.278,
-123.505,48.59166667,37,2009-09-02,200.512,9.181,NAN,NAN,NAN,NAN,0.499,2.083,31.278,
-123.505,48.59166667,37,2009-09-02,200.521,9.181,NAN,NAN,NAN,NAN,0.508,2.051,31.278,
-123.505,48.59166667,37,2009-09-02,200.537,9.181,NAN,NAN,NAN,NAN,0.514,2.076,31.277,
-123.505,48.59166667,37,2009-09-02,200.543,9.181,NAN,NAN,NAN,NAN,0.518,2.06,31.278,
-123.505,48.59166667,37,2009-09-02,200.552,9.181,NAN,NAN,NAN,NAN,0.528,2.074,31.278,
-123.505,48.59166667,37,2009-09-02,200.549,9.181,NAN,NAN,NAN,NAN,0.503,2.065,31.278,
-123.505,48.59166667,37,2009-09-02,200.54,9.181,NAN,NAN,NAN,NAN,0.502,2.047,31.278,
-123.505,48.59166667,37,2009-09-02,200.53,9.181,NAN,NAN,NAN,NAN,0.524,1.996,31.278,
-123.505,48.59166667,37,2009-09-02,200.527,9.181,NAN,NAN,NAN,NAN,0.522,2.065,31.278,
-123.505,48.59166667,37,2009-09-02,200.53,9.181,NAN,NAN,NAN,NAN,0.522,1.899,31.278,
-123.505,48.59166667,37,2009-09-02,200.537,9.181,NAN,NAN,NAN,NAN,0.523,1.959,31.278,
-123.505,48.59166667,37,2009-09-02,200.537,9.181,NAN,NAN,NAN,NAN,0.511,2.091,31.278,
-123.505,48.59166667,37,2009-09-02,200.552,9.181,NAN,NAN,NAN,NAN,0.531,1.931,31.278,
-123.505,48.59166667,37,2009-09-02,200.564,9.181,NAN,NAN,NAN,NAN,0.504,1.967,31.278,
-123.505,48.59166667,37,2009-09-02,200.582,9.181,NAN,NAN,NAN,NAN,0.509,1.957,31.278,
-123.505,48.59166667,37,2009-09-02,200.588,9.181,NAN,NAN,NAN,NAN,0.505,1.874,31.278,
-123.505,48.59166667,37,2009-09-02,200.582,9.181,NAN,NAN,NAN,NAN,0.514,2.042,31.278,
-123.505,48.59166667,37,2009-09-02,200.576,9.181,NAN,NAN,NAN,NAN,0.527,1.956,31.278,
-123.505,48.59166667,37,2009-09-02,200.57,9.181,NAN,NAN,NAN,NAN,0.536,2.028,31.278,
-123.505,48.59166667,37,2009-09-02,200.567,9.181,NAN,NAN,NAN,NAN,0.611,2.031,31.278,
-123.505,48.59166667,37,2009-09-02,200.558,9.181,NAN,NAN,NAN,NAN,0.537,2.019,31.279,
-123.505,48.59166667,37,2009-09-02,200.558,9.181,NAN,NAN,NAN,NAN,0.563,2.011,31.278,
-123.505,48.59166667,37,2009-09-02,200.576,9.181,NAN,NAN,NAN,NAN,0.516,1.964,31.278,
-123.505,48.59166667,37,2009-09-02,200.579,9.181,NAN,NAN,NAN,NAN,0.527,1.998,31.278,
-123.505,48.59166667,37,2009-09-02,200.591,9.181,NAN,NAN,NAN,NAN,0.502,1.988,31.278,
-123.505,48.59166667,37,2009-09-02,200.603,9.181,NAN,NAN,NAN,NAN,0.518,2,31.278,
-123.505,48.59166667,37,2009-09-02,200.603,9.181,NAN,NAN,NAN,NAN,0.514,1.911,31.278,
-123.505,48.59166667,37,2009-09-02,200.609,9.181,NAN,NAN,NAN,NAN,0.514,1.891,31.278,
-123.505,48.59166667,37,2009-09-02,200.609,9.182,NAN,NAN,NAN,NAN,0.518,1.952,31.278,
-123.505,48.59166667,37,2009-09-02,200.606,9.182,NAN,NAN,NAN,NAN,0.515,2.051,31.278,
-123.505,48.59166667,37,2009-09-02,200.612,9.182,NAN,NAN,NAN,NAN,0.508,2.045,31.278,
-123.505,48.59166667,37,2009-09-02,200.612,9.182,NAN,NAN,NAN,NAN,0.531,1.931,31.278,
-123.505,48.59166667,37,2009-09-02,200.616,9.182,NAN,NAN,NAN,NAN,0.52,2.015,31.278,
-123.505,48.59166667,37,2009-09-02,200.612,9.182,NAN,NAN,NAN,NAN,0.507,1.988,31.278,
-123.505,48.59166667,37,2009-09-02,200.612,9.182,NAN,NAN,NAN,NAN,0.514,2.122,31.278,
-123.505,48.59166667,37,2009-09-02,200.619,9.182,NAN,NAN,NAN,NAN,0.51,2.056,31.278,
-123.505,48.59166667,37,2009-09-02,200.628,9.182,NAN,NAN,NAN,NAN,0.516,1.909,31.278,
-123.505,48.59166667,37,2009-09-02,200.631,9.182,NAN,NAN,NAN,NAN,0.517,1.994,31.278,
-123.505,48.59166667,37,2009-09-02,200.631,9.182,NAN,NAN,NAN,NAN,0.499,1.998,31.278,
-123.505,48.59166667,37,2009-09-02,200.637,9.182,NAN,NAN,NAN,NAN,0.507,2.011,31.278,
-123.505,48.59166667,37,2009-09-02,200.631,9.182,NAN,NAN,NAN,NAN,0.507,1.952,31.278,
-123.505,48.59166667,37,2009-09-02,200.643,9.182,NAN,NAN,NAN,NAN,0.527,1.903,31.278,
-123.505,48.59166667,37,2009-09-02,200.649,9.182,NAN,NAN,NAN,NAN,0.587,2.034,31.278,
-123.505,48.59166667,37,2009-09-02,200.646,9.182,NAN,NAN,NAN,NAN,0.617,1.861,31.278,
-123.505,48.59166667,37,2009-09-02,200.664,9.182,NAN,NAN,NAN,NAN,0.598,1.96,31.278,
-123.505,48.59166667,37,2009-09-02,200.655,9.182,NAN,NAN,NAN,NAN,0.557,1.943,31.278,
-123.505,48.59166667,37,2009-09-02,200.661,9.182,NAN,NAN,NAN,NAN,0.534,2.002,31.278,
-123.505,48.59166667,37,2009-09-02,200.658,9.182,NAN,NAN,NAN,NAN,0.534,2.007,31.278,
-123.505,48.59166667,37,2009-09-02,200.67,9.182,NAN,NAN,NAN,NAN,0.535,2.041,31.278,
-123.505,48.59166667,37,2009-09-02,200.67,9.182,NAN,NAN,NAN,NAN,0.523,1.893,31.278,
-123.505,48.59166667,37,2009-09-02,200.673,9.182,NAN,NAN,NAN,NAN,0.522,2.067,31.278,
-123.505,48.59166667,37,2009-09-02,200.676,9.182,NAN,NAN,NAN,NAN,0.512,1.914,31.278,
-123.505,48.59166667,37,2009-09-02,200.676,9.182,NAN,NAN,NAN,NAN,0.523,1.882,31.278,
-123.505,48.59166667,37,2009-09-02,200.682,9.182,NAN,NAN,NAN,NAN,0.508,1.85,31.278,
-123.505,48.59166667,37,2009-09-02,200.688,9.182,NAN,NAN,NAN,NAN,0.529,1.9,31.278,
-123.505,48.59166667,37,2009-09-02,200.691,9.182,NAN,NAN,NAN,NAN,0.518,1.933,31.278,
-123.505,48.59166667,37,2009-09-02,200.688,9.182,NAN,NAN,NAN,NAN,0.52,1.998,31.278,
-123.505,48.59166667,37,2009-09-02,200.704,9.182,NAN,NAN,NAN,NAN,0.501,1.928,31.278,
-123.505,48.59166667,37,2009-09-02,200.707,9.182,NAN,NAN,NAN,NAN,0.515,1.909,31.278,
-123.505,48.59166667,37,2009-09-02,200.71,9.182,NAN,NAN,NAN,NAN,0.523,1.971,31.278,
-123.505,48.59166667,37,2009-09-02,200.722,9.182,NAN,NAN,NAN,NAN,0.518,1.99,31.278,
-123.505,48.59166667,37,2009-09-02,200.722,9.182,NAN,NAN,NAN,NAN,0.517,1.948,31.278,
-123.505,48.59166667,37,2009-09-02,200.725,9.182,NAN,NAN,NAN,NAN,0.518,1.856,31.278,
-123.505,48.59166667,37,2009-09-02,200.716,9.182,NAN,NAN,NAN,NAN,0.524,1.927,31.278,
-123.505,48.59166667,37,2009-09-02,200.716,9.182,NAN,NAN,NAN,NAN,0.516,1.915,31.278,
-123.505,48.59166667,37,2009-09-02,200.713,9.182,NAN,NAN,NAN,NAN,0.522,1.966,31.278,
-123.505,48.59166667,37,2009-09-02,200.725,9.182,NAN,NAN,NAN,NAN,0.505,1.893,31.278,
-123.505,48.59166667,37,2009-09-02,200.725,9.182,NAN,NAN,NAN,NAN,0.52,1.95,31.278,
-123.505,48.59166667,37,2009-09-02,200.737,9.182,NAN,NAN,NAN,NAN,0.517,1.85,31.278,
-123.505,48.59166667,37,2009-09-02,200.761,9.182,NAN,NAN,NAN,NAN,0.518,1.909,31.278,
-123.505,48.59166667,37,2009-09-02,200.761,9.182,NAN,NAN,NAN,NAN,0.515,1.865,31.278,
-123.505,48.59166667,37,2009-09-02,200.761,9.182,NAN,NAN,NAN,NAN,0.515,1.858,31.278,
-123.505,48.59166667,37,2009-09-02,200.77,9.182,NAN,NAN,NAN,NAN,0.526,2.037,31.278,
-123.505,48.59166667,37,2009-09-02,200.761,9.182,NAN,NAN,NAN,NAN,0.527,1.92,31.278,
-123.505,48.59166667,37,2009-09-02,200.767,9.182,NAN,NAN,NAN,NAN,0.535,2.025,31.278,
-123.505,48.59166667,37,2009-09-02,200.767,9.182,NAN,NAN,NAN,NAN,0.51,1.93,31.278,
-123.505,48.59166667,37,2009-09-02,200.767,9.182,NAN,NAN,NAN,NAN,0.498,1.812,31.278,
-123.505,48.59166667,37,2009-09-02,200.77,9.182,NAN,NAN,NAN,NAN,0.521,1.905,31.278,
-123.505,48.59166667,37,2009-09-02,200.77,9.182,NAN,NAN,NAN,NAN,0.539,1.921,31.278,
-123.505,48.59166667,37,2009-09-02,200.776,9.182,NAN,NAN,NAN,NAN,0.515,1.887,31.278,
-123.505,48.59166667,37,2009-09-02,200.78,9.182,NAN,NAN,NAN,NAN,0.516,1.966,31.278,
-123.505,48.59166667,37,2009-09-02,200.798,9.182,NAN,NAN,NAN,NAN,0.524,1.983,31.278,
-123.505,48.59166667,37,2009-09-02,200.795,9.182,NAN,NAN,NAN,NAN,0.509,1.914,31.278,
-123.505,48.59166667,37,2009-09-02,200.804,9.182,NAN,NAN,NAN,NAN,0.516,1.989,31.278,
-123.505,48.59166667,37,2009-09-02,200.81,9.182,NAN,NAN,NAN,NAN,0.508,1.93,31.278,
-123.505,48.59166667,37,2009-09-02,200.804,9.182,NAN,NAN,NAN,NAN,0.512,1.852,31.278,
-123.505,48.59166667,37,2009-09-02,200.807,9.182,NAN,NAN,NAN,NAN,0.511,1.937,31.278,
-123.505,48.59166667,37,2009-09-02,200.819,9.182,NAN,NAN,NAN,NAN,0.512,1.826,31.278,
-123.505,48.59166667,37,2009-09-02,200.813,9.182,NAN,NAN,NAN,NAN,0.511,1.868,31.278,
-123.505,48.59166667,37,2009-09-02,200.822,9.182,NAN,NAN,NAN,NAN,0.514,1.885,31.278,
-123.505,48.59166667,37,2009-09-02,200.822,9.182,NAN,NAN,NAN,NAN,0.502,1.889,31.278,
-123.505,48.59166667,37,2009-09-02,200.822,9.182,NAN,NAN,NAN,NAN,0.505,1.834,31.278,
-123.505,48.59166667,37,2009-09-02,200.822,9.182,NAN,NAN,NAN,NAN,0.524,1.832,31.278,
-123.505,48.59166667,37,2009-09-02,200.822,9.182,NAN,NAN,NAN,NAN,0.534,1.952,31.278,
-123.505,48.59166667,37,2009-09-02,200.825,9.182,NAN,NAN,NAN,NAN,0.507,2.009,31.278,
-123.505,48.59166667,37,2009-09-02,200.84,9.182,NAN,NAN,NAN,NAN,0.501,2.004,31.278,
-123.505,48.59166667,37,2009-09-02,200.837,9.182,NAN,NAN,NAN,NAN,0.508,1.944,31.278,
-123.505,48.59166667,37,2009-09-02,200.852,9.182,NAN,NAN,NAN,NAN,0.522,1.92,31.278,
-123.505,48.59166667,37,2009-09-02,200.852,9.182,NAN,NAN,NAN,NAN,0.508,1.999,31.278,
-123.505,48.59166667,37,2009-09-02,200.865,9.182,NAN,NAN,NAN,NAN,0.512,1.991,31.278,
-123.505,48.59166667,37,2009-09-02,200.861,9.182,NAN,NAN,NAN,NAN,0.528,1.93,31.278,
-123.505,48.59166667,37,2009-09-02,200.865,9.182,NAN,NAN,NAN,NAN,0.521,1.704,31.278,
-123.505,48.59166667,37,2009-09-02,200.871,9.182,NAN,NAN,NAN,NAN,0.511,1.862,31.278,
-123.505,48.59166667,37,2009-09-02,200.868,9.182,NAN,NAN,NAN,NAN,0.504,1.802,31.278,
-123.505,48.59166667,37,2009-09-02,200.868,9.181,NAN,NAN,NAN,NAN,0.52,1.731,31.278,
-123.505,48.59166667,37,2009-09-02,200.868,9.182,NAN,NAN,NAN,NAN,0.507,1.848,31.278,
-123.505,48.59166667,37,2009-09-02,200.874,9.181,NAN,NAN,NAN,NAN,0.516,1.826,31.278,
-123.505,48.59166667,37,2009-09-02,200.877,9.181,NAN,NAN,NAN,NAN,0.523,1.828,31.278,
-123.505,48.59166667,37,2009-09-02,200.883,9.181,NAN,NAN,NAN,NAN,0.523,1.989,31.278,
-123.505,48.59166667,37,2009-09-02,200.892,9.181,NAN,NAN,NAN,NAN,0.526,2.008,31.278,
-123.505,48.59166667,37,2009-09-02,200.889,9.181,NAN,NAN,NAN,NAN,0.502,1.979,31.278,
-123.505,48.59166667,37,2009-09-02,200.898,9.181,NAN,NAN,NAN,NAN,0.527,2.028,31.278,
-123.505,48.59166667,37,2009-09-02,200.901,9.181,NAN,NAN,NAN,NAN,0.53,2.081,31.278,
-123.505,48.59166667,37,2009-09-02,200.898,9.181,NAN,NAN,NAN,NAN,0.52,1.904,31.278,
-123.505,48.59166667,37,2009-09-02,200.904,9.181,NAN,NAN,NAN,NAN,0.518,1.92,31.278,
-123.505,48.59166667,37,2009-09-02,200.91,9.181,NAN,NAN,NAN,NAN,0.54,2.06,31.278,
-123.505,48.59166667,37,2009-09-02,200.916,9.181,NAN,NAN,NAN,NAN,0.518,1.851,31.278,
-123.505,48.59166667,37,2009-09-02,200.922,9.181,NAN,NAN,NAN,NAN,0.503,1.883,31.278,
-123.505,48.59166667,37,2009-09-02,200.925,9.181,NAN,NAN,NAN,NAN,0.512,1.863,31.278,
-123.505,48.59166667,37,2009-09-02,200.928,9.181,NAN,NAN,NAN,NAN,0.526,1.927,31.278,
-123.505,48.59166667,37,2009-09-02,200.919,9.181,NAN,NAN,NAN,NAN,0.514,1.911,31.278,
-123.505,48.59166667,37,2009-09-02,200.919,9.181,NAN,NAN,NAN,NAN,0.535,1.936,31.278,
-123.505,48.59166667,37,2009-09-02,200.919,9.181,NAN,NAN,NAN,NAN,0.523,1.92,31.278,
-123.505,48.59166667,37,2009-09-02,200.928,9.181,NAN,NAN,NAN,NAN,0.515,1.747,31.278,
-123.505,48.59166667,37,2009-09-02,200.937,9.181,NAN,NAN,NAN,NAN,0.522,1.924,31.278,
-123.505,48.59166667,37,2009-09-02,200.943,9.181,NAN,NAN,NAN,NAN,0.528,1.838,31.278,
-123.505,48.59166667,37,2009-09-02,200.956,9.181,NAN,NAN,NAN,NAN,0.521,1.925,31.278,
-123.505,48.59166667,37,2009-09-02,200.965,9.181,NAN,NAN,NAN,NAN,0.509,1.926,31.278,
-123.505,48.59166667,37,2009-09-02,200.971,9.181,NAN,NAN,NAN,NAN,0.527,1.812,31.278,
-123.505,48.59166667,37,2009-09-02,200.971,9.181,NAN,NAN,NAN,NAN,0.503,1.875,31.278,
-123.505,48.59166667,37,2009-09-02,200.974,9.181,NAN,NAN,NAN,NAN,0.509,1.938,31.278,
-123.505,48.59166667,37,2009-09-02,200.965,9.181,NAN,NAN,NAN,NAN,0.509,1.908,31.278,
-123.505,48.59166667,37,2009-09-02,200.962,9.181,NAN,NAN,NAN,NAN,0.508,1.802,31.278,
-123.505,48.59166667,37,2009-09-02,200.962,9.181,NAN,NAN,NAN,NAN,0.533,1.781,31.278,
-123.505,48.59166667,37,2009-09-02,200.965,9.181,NAN,NAN,NAN,NAN,0.51,1.903,31.279,
-123.505,48.59166667,37,2009-09-02,200.968,9.181,NAN,NAN,NAN,NAN,0.521,1.983,31.278,
-123.505,48.59166667,37,2009-09-02,200.971,9.181,NAN,NAN,NAN,NAN,0.528,2.071,31.278,
-123.505,48.59166667,37,2009-09-02,200.98,9.181,NAN,NAN,NAN,NAN,0.521,2.005,31.278,
-123.505,48.59166667,37,2009-09-02,200.995,9.181,NAN,NAN,NAN,NAN,0.52,1.912,31.278,
-123.505,48.59166667,38,2009-10-14,1,12.014,34.256,8.815,81.798,390.28,5.75,251.194,29.446,22.277
-123.505,48.59166667,38,2009-10-14,2,12.021,34.268,9.489,81.718,443.78,5.733,250.45,29.451,22.28
-123.505,48.59166667,38,2009-10-14,3,12.018,34.271,9.247,81.551,136.97,5.72,249.881,29.456,22.284
-123.505,48.59166667,38,2009-10-14,4,11.944,34.233,7.9,81.8,278.76,5.624,245.694,29.478,22.314
-123.505,48.59166667,38,2009-10-14,5,11.914,34.21,7.721,82.696,202.19,5.087,222.204,29.479,22.321
-123.505,48.59166667,38,2009-10-14,6,11.979,34.305,5.933,83.631,156.19,4.207,183.795,29.518,22.34
